nohup: ignoring input
Data split into 2262300 training samples and 565576 testing samples.
Applying preprocessing (MinMaxScaler and OneHotEncoder)...
Shape after initial preprocessing (sparse) - X_train: (2262300, 51251), X_test: (565576, 51251)

==================== TESTING MODEL: estimators=2, depth=4, svd=200 ====================

Applying TruncatedSVD to reduce feature count from 51251 to 200...
Shape after SVD reduction (dense) - X_train: (2262300, 200), X_test: (565576, 200)
Final training data shape: (2262300, 200)
Final testing data shape: (565576, 200)
Record 1/1000 | Predicted: [0] | True: 0 | Time: 0.0019s
Record 2/1000 | Predicted: [0] | True: 0 | Time: 0.0017s
Record 3/1000 | Predicted: [0] | True: 0 | Time: 0.0016s
Record 4/1000 | Predicted: [0] | True: 0 | Time: 0.0016s
Record 5/1000 | Predicted: [0] | True: 0 | Time: 0.0016s
Record 6/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 7/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 8/1000 | Predicted: [1] | True: 1 | Time: 0.0016s
Record 9/1000 | Predicted: [1] | True: 1 | Time: 0.0016s
Record 10/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 11/1000 | Predicted: [1] | True: 1 | Time: 0.0015s
Record 12/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 13/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 14/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 15/1000 | Predicted: [1] | True: 0 | Time: 0.0015s
Record 16/1000 | Predicted: [1] | True: 1 | Time: 0.0015s
Record 17/1000 | Predicted: [1] | True: 1 | Time: 0.0015s
Record 18/1000 | Predicted: [0] | True: 0 | Time: 0.0016s
Record 19/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 20/1000 | Predicted: [1] | True: 1 | Time: 0.0015s
Record 21/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 22/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 23/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 24/1000 | Predicted: [1] | True: 1 | Time: 0.0015s
Record 25/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 26/1000 | Predicted: [1] | True: 0 | Time: 0.0015s
Record 27/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 28/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 29/1000 | Predicted: [1] | True: 1 | Time: 0.0015s
Record 30/1000 | Predicted: [1] | True: 1 | Time: 0.0015s
Record 31/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 32/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 33/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 34/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 35/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 36/1000 | Predicted: [1] | True: 0 | Time: 0.0015s
Record 37/1000 | Predicted: [1] | True: 0 | Time: 0.0015s
Record 38/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 39/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 40/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 41/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 42/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 43/1000 | Predicted: [1] | True: 1 | Time: 0.0015s
Record 44/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 45/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 46/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 47/1000 | Predicted: [0] | True: 0 | Time: 0.0016s
Record 48/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 49/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 50/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 51/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 52/1000 | Predicted: [0] | True: 0 | Time: 0.0016s
Record 53/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 54/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 55/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 56/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 57/1000 | Predicted: [0] | True: 1 | Time: 0.0015s
Record 58/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 59/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 60/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 61/1000 | Predicted: [0] | True: 0 | Time: 0.0016s
Record 62/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 63/1000 | Predicted: [1] | True: 1 | Time: 0.0015s
Record 64/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 65/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 66/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 67/1000 | Predicted: [0] | True: 1 | Time: 0.0015s
Record 68/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 69/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 70/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 71/1000 | Predicted: [1] | True: 0 | Time: 0.0015s
Record 72/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 73/1000 | Predicted: [0] | True: 0 | Time: 0.0016s
Record 74/1000 | Predicted: [1] | True: 0 | Time: 0.0015s
Record 75/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 76/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 77/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 78/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 79/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 80/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 81/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 82/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 83/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 84/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 85/1000 | Predicted: [0] | True: 0 | Time: 0.0016s
Record 86/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 87/1000 | Predicted: [1] | True: 1 | Time: 0.0015s
Record 88/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 89/1000 | Predicted: [0] | True: 0 | Time: 0.0016s
Record 90/1000 | Predicted: [1] | True: 1 | Time: 0.0015s
Record 91/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 92/1000 | Predicted: [1] | True: 1 | Time: 0.0015s
Record 93/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 94/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 95/1000 | Predicted: [1] | True: 1 | Time: 0.0015s
Record 96/1000 | Predicted: [0] | True: 0 | Time: 0.0016s
Record 97/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 98/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 99/1000 | Predicted: [1] | True: 1 | Time: 0.0016s
Record 100/1000 | Predicted: [0] | True: 0 | Time: 0.0016s
Record 101/1000 | Predicted: [1] | True: 1 | Time: 0.0016s
Record 102/1000 | Predicted: [0] | True: 0 | Time: 0.0016s
Record 103/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 104/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 105/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 106/1000 | Predicted: [0] | True: 0 | Time: 0.0015s
Record 107/1000 | Predicted: [1] | True: 0 | Time: 0.0015s
Record 108/1000 | Predicted: [0] | True: 0 | Time: 0.0016s
