nohup: ignoring input
Record 1/22544 | Predicted: 1 | True: 1 | Time: 0.0006s
Record 2/22544 | Predicted: 1 | True: 1 | Time: 0.0004s
Record 3/22544 | Predicted: 1 | True: 0 | Time: 0.0004s
Record 4/22544 | Predicted: 1 | True: 1 | Time: 0.0004s
Record 5/22544 | Predicted: 1 | True: 1 | Time: 0.0004s
Record 6/22544 | Predicted: 0 | True: 0 | Time: 0.0004s
Record 7/22544 | Predicted: 1 | True: 0 | Time: 0.0004s
Record 8/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 9/22544 | Predicted: 0 | True: 0 | Time: 0.0004s
Record 10/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 11/22544 | Predicted: 1 | True: 1 | Time: 0.0004s
Record 12/22544 | Predicted: 1 | True: 0 | Time: 0.0003s
Record 13/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 14/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 15/22544 | Predicted: 1 | True: 0 | Time: 0.0004s
Record 16/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 17/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 18/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 19/22544 | Predicted: 1 | True: 0 | Time: 0.0003s
Record 20/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 21/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 22/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 23/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 24/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 25/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 26/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 27/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 28/22544 | Predicted: 0 | True: 0 | Time: 0.0004s
Record 29/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 30/22544 | Predicted: 1 | True: 0 | Time: 0.0003s
Record 31/22544 | Predicted: 0 | True: 1 | Time: 0.0003s
Record 32/22544 | Predicted: 1 | True: 0 | Time: 0.0003s
Record 33/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 34/22544 | Predicted: 1 | True: 0 | Time: 0.0003s
Record 35/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 36/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 37/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 38/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 39/22544 | Predicted: 1 | True: 0 | Time: 0.0003s
Record 40/22544 | Predicted: 1 | True: 0 | Time: 0.0003s
Record 41/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 42/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 43/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 44/22544 | Predicted: 0 | True: 0 | Time: 0.0005s
Record 45/22544 | Predicted: 1 | True: 1 | Time: 0.0004s
Record 46/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 47/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 48/22544 | Predicted: 0 | True: 1 | Time: 0.0003s
Record 49/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 50/22544 | Predicted: 1 | True: 0 | Time: 0.0003s
Record 51/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 52/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 53/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 54/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 55/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 56/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 57/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 58/22544 | Predicted: 1 | True: 1 | Time: 0.0004s
Record 59/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 60/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 61/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 62/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 63/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 64/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 65/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 66/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 67/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 68/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 69/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 70/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 71/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 72/22544 | Predicted: 1 | True: 0 | Time: 0.0003s
Record 73/22544 | Predicted: 0 | True: 0 | Time: 0.0005s
Record 74/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 75/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 76/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 77/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 78/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 79/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 80/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 81/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 82/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 83/22544 | Predicted: 1 | True: 1 | Time: 0.0004s
Record 84/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 85/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 86/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 87/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 88/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 89/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 90/22544 | Predicted: 1 | True: 0 | Time: 0.0003s
Record 91/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 92/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 93/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 94/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 95/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 96/22544 | Predicted: 1 | True: 0 | Time: 0.0003s
Record 97/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 98/22544 | Predicted: 1 | True: 0 | Time: 0.0003s
Record 99/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 100/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 101/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 102/22544 | Predicted: 1 | True: 1 | Time: 0.0005s
Record 103/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 104/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 105/22544 | Predicted: 1 | True: 0 | Time: 0.0003s
Record 106/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 107/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 108/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 109/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 110/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 111/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 112/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 113/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 114/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 115/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 116/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 117/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 118/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 119/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 120/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 121/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 122/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 123/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 124/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 125/22544 | Predicted: 1 | True: 0 | Time: 0.0003s
Record 126/22544 | Predicted: 1 | True: 0 | Time: 0.0003s
Record 127/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 128/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 129/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 130/22544 | Predicted: 1 | True: 0 | Time: 0.0003s
Record 131/22544 | Predicted: 1 | True: 0 | Time: 0.0005s
Record 132/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 133/22544 | Predicted: 1 | True: 1 | Time: 0.0004s
Record 134/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 135/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 136/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 137/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 138/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 139/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 140/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 141/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 142/22544 | Predicted: 1 | True: 0 | Time: 0.0003s
Record 143/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 144/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 145/22544 | Predicted: 0 | True: 1 | Time: 0.0004s
Record 146/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 147/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 148/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 149/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 150/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 151/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 152/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 153/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 154/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 155/22544 | Predicted: 0 | True: 0 | Time: 0.0003s
Record 156/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 157/22544 | Predicted: 1 | True: 1 | Time: 0.0003s
Record 158/22544 | Predicted: 1 | True: 1 | Time: 0.0004s
