nohup: ignoring input
Data split into 1794344 training samples and 448587 testing samples.
Applying preprocessing (MinMaxScaler and OneHotEncoder)...
Shape after initial preprocessing (sparse) - X_train: (1794344, 134), X_test: (448587, 134)

==================== TESTING MODEL: estimators=2, depth=2, svd=100 ====================

Applying TruncatedSVD to reduce feature count from 134 to 100...
Shape after SVD reduction (dense) - X_train: (1794344, 100), X_test: (448587, 100)
Final training data shape: (1794344, 100)
Final testing data shape: (448587, 100)
[LOG] Current time: 2025-08-11 21:41:18 -03-0300
--- FHE Prediction with Before & After Comparison ---

[STEP 1] Loading pre-compiled FHE circuit and preprocessor...

[STEP 2] Preparing and inspecting data on the CLIENT-SIDE before encryption...

[STEP 3] Processing all records...
Record 1/1000 | Predicted: 0 | True: 0 | Time: 1.3604s
Record 2/1000 | Predicted: 0 | True: 0 | Time: 1.0003s
Record 3/1000 | Predicted: 0 | True: 0 | Time: 0.8335s
Record 4/1000 | Predicted: 0 | True: 0 | Time: 0.7848s
Record 5/1000 | Predicted: 0 | True: 0 | Time: 0.7787s
Record 6/1000 | Predicted: 0 | True: 0 | Time: 0.8333s
Record 7/1000 | Predicted: 0 | True: 0 | Time: 0.7754s
Record 8/1000 | Predicted: 0 | True: 0 | Time: 0.8465s
Record 9/1000 | Predicted: 0 | True: 0 | Time: 0.7787s
Record 10/1000 | Predicted: 0 | True: 0 | Time: 0.8062s
Record 11/1000 | Predicted: 0 | True: 0 | Time: 0.7905s
Record 12/1000 | Predicted: 0 | True: 0 | Time: 0.8279s
Record 13/1000 | Predicted: 0 | True: 0 | Time: 0.8276s
Record 14/1000 | Predicted: 0 | True: 0 | Time: 0.7991s
Record 15/1000 | Predicted: 0 | True: 0 | Time: 0.7856s
Record 16/1000 | Predicted: 0 | True: 0 | Time: 0.8045s
Record 17/1000 | Predicted: 0 | True: 0 | Time: 0.8026s
Record 18/1000 | Predicted: 0 | True: 0 | Time: 0.8336s
Record 19/1000 | Predicted: 0 | True: 0 | Time: 0.8425s
Record 20/1000 | Predicted: 0 | True: 0 | Time: 0.8069s
Record 21/1000 | Predicted: 0 | True: 0 | Time: 0.8055s
Record 22/1000 | Predicted: 0 | True: 0 | Time: 0.8216s
Record 23/1000 | Predicted: 0 | True: 0 | Time: 0.7825s
Record 24/1000 | Predicted: 0 | True: 0 | Time: 0.8262s
Record 25/1000 | Predicted: 0 | True: 1 | Time: 0.8040s
Record 26/1000 | Predicted: 0 | True: 0 | Time: 0.7911s
Record 27/1000 | Predicted: 0 | True: 0 | Time: 0.7871s
Record 28/1000 | Predicted: 0 | True: 0 | Time: 0.8081s
Record 29/1000 | Predicted: 0 | True: 0 | Time: 0.8136s
Record 30/1000 | Predicted: 0 | True: 0 | Time: 0.7975s
Record 31/1000 | Predicted: 0 | True: 0 | Time: 0.7820s
Record 32/1000 | Predicted: 0 | True: 0 | Time: 0.8053s
Record 33/1000 | Predicted: 0 | True: 0 | Time: 0.8097s
Record 34/1000 | Predicted: 0 | True: 0 | Time: 0.8257s
Record 35/1000 | Predicted: 0 | True: 0 | Time: 0.8263s
Record 36/1000 | Predicted: 0 | True: 0 | Time: 0.8240s
Record 37/1000 | Predicted: 0 | True: 0 | Time: 0.8000s
Record 38/1000 | Predicted: 0 | True: 0 | Time: 0.7905s
Record 39/1000 | Predicted: 0 | True: 0 | Time: 0.8144s
Record 40/1000 | Predicted: 0 | True: 0 | Time: 0.7990s
Record 41/1000 | Predicted: 0 | True: 0 | Time: 0.7879s
Record 42/1000 | Predicted: 0 | True: 0 | Time: 0.7860s
Record 43/1000 | Predicted: 0 | True: 0 | Time: 0.8163s
Record 44/1000 | Predicted: 0 | True: 0 | Time: 0.8232s
Record 45/1000 | Predicted: 0 | True: 0 | Time: 0.8207s
Record 46/1000 | Predicted: 0 | True: 0 | Time: 0.7862s
Record 47/1000 | Predicted: 0 | True: 0 | Time: 0.8017s
Record 48/1000 | Predicted: 0 | True: 0 | Time: 0.7842s
Record 49/1000 | Predicted: 0 | True: 0 | Time: 0.8014s
Record 50/1000 | Predicted: 0 | True: 0 | Time: 0.8007s
Record 51/1000 | Predicted: 0 | True: 0 | Time: 0.7840s
Record 52/1000 | Predicted: 0 | True: 0 | Time: 0.8026s
Record 53/1000 | Predicted: 0 | True: 0 | Time: 0.7929s
Record 54/1000 | Predicted: 0 | True: 0 | Time: 0.8264s
Record 55/1000 | Predicted: 0 | True: 0 | Time: 0.8421s
Record 56/1000 | Predicted: 0 | True: 0 | Time: 0.7894s
Record 57/1000 | Predicted: 0 | True: 0 | Time: 0.7964s
Record 58/1000 | Predicted: 0 | True: 0 | Time: 0.8159s
Record 59/1000 | Predicted: 0 | True: 0 | Time: 0.7987s
Record 60/1000 | Predicted: 0 | True: 0 | Time: 0.8072s
Record 61/1000 | Predicted: 0 | True: 0 | Time: 0.7873s
Record 62/1000 | Predicted: 0 | True: 0 | Time: 0.7927s
Record 63/1000 | Predicted: 0 | True: 0 | Time: 0.7993s
Record 64/1000 | Predicted: 0 | True: 0 | Time: 0.8150s
Record 65/1000 | Predicted: 0 | True: 0 | Time: 0.8359s
Record 66/1000 | Predicted: 0 | True: 0 | Time: 0.7997s
Record 67/1000 | Predicted: 0 | True: 0 | Time: 0.8185s
Record 68/1000 | Predicted: 0 | True: 0 | Time: 0.7899s
