nohup: ignoring input
Data split into 1794344 training samples and 448587 testing samples.
Applying preprocessing (MinMaxScaler and OneHotEncoder)...
Shape after initial preprocessing (sparse) - X_train: (1794344, 134), X_test: (448587, 134)

==================== TESTING MODEL: estimators=2, depth=2, svd=100 ====================

Applying TruncatedSVD to reduce feature count from 134 to 100...
Shape after SVD reduction (dense) - X_train: (1794344, 100), X_test: (448587, 100)
Final training data shape: (1794344, 100)
Final testing data shape: (448587, 100)
Record 1/1000 | Predicted: [0] | True: 0 | Time: 0.0012s
Record 2/1000 | Predicted: [0] | True: 0 | Time: 0.0011s
Record 3/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 4/1000 | Predicted: [0] | True: 0 | Time: 0.0009s
Record 5/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 6/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 7/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 8/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 9/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 10/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 11/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 12/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 13/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 14/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 15/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 16/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 17/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 18/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 19/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 20/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 21/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 22/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 23/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 24/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 25/1000 | Predicted: [0] | True: 1 | Time: 0.0010s
Record 26/1000 | Predicted: [0] | True: 0 | Time: 0.0009s
Record 27/1000 | Predicted: [0] | True: 0 | Time: 0.0009s
Record 28/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 29/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 30/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 31/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 32/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 33/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 34/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 35/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 36/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 37/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 38/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 39/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 40/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 41/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 42/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 43/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 44/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 45/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 46/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 47/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 48/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 49/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 50/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 51/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 52/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 53/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 54/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 55/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 56/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 57/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 58/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 59/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 60/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 61/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 62/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 63/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 64/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 65/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 66/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 67/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 68/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 69/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 70/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 71/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 72/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 73/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 74/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 75/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 76/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 77/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 78/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 79/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 80/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 81/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 82/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 83/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 84/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 85/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 86/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 87/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 88/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 89/1000 | Predicted: [0] | True: 0 | Time: 0.0009s
Record 90/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 91/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 92/1000 | Predicted: [0] | True: 0 | Time: 0.0011s
Record 93/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 94/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 95/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 96/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 97/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 98/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 99/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 100/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 101/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 102/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 103/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 104/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 105/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 106/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 107/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 108/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 109/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 110/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 111/1000 | Predicted: [0] | True: 1 | Time: 0.0010s
Record 112/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 113/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 114/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 115/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 116/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 117/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 118/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 119/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 120/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 121/1000 | Predicted: [0] | True: 0 | Time: 0.0009s
Record 122/1000 | Predicted: [0] | True: 0 | Time: 0.0009s
Record 123/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 124/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 125/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 126/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 127/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 128/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 129/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 130/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 131/1000 | Predicted: [0] | True: 1 | Time: 0.0010s
Record 132/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 133/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 134/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 135/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 136/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 137/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 138/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 139/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 140/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 141/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 142/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 143/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 144/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 145/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 146/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 147/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 148/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 149/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 150/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 151/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 152/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 153/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 154/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 155/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
Record 156/1000 | Predicted: [0] | True: 0 | Time: 0.0010s
